from,to,weight
Albrook,Sloan Hall,4
Sloan Hall,Electrical-Mechanical Engineering Building,1
Sloan Hall,Dana,2
Electrical-Mechanical Engineering Building,Dana,1
Dana,Carpenter Hall,2
Carpenter Hall,Daggy Hall,2
Carpenter Hall,Heald Hall,4
Carpenter Hall,Abelson Hall,4
Daggy Hall,Murrow Center,4
Daggy Hall,Heald Hall,2
Heald Hall,Abelson Hall,4
Heald Hall,Cleveland Hall,2
Cleveland Hall,The Spark,2
Cleveland Hall,Webster Hall,4
The Spark,Webster Hall,2
Webster Hall,Wegner Hall,3
Webster Hall,Fulmer Complex,2
Wegner Hall,Bustad Hall,3
Bustad Hall,Animal Disease Biotechnology Facility,1
Fulmer Complex,Abelson Hall,3
Abelson Hall,Todd Hall,2
Todd Hall,Fulmer Complex,1
Todd Hall,College Hall,3
Todd Hall,The CUE,5
College Hall,Wilson-Short Hall,3
College Hall,Terrell Library,2
College Hall,Murrow Center,3
Wilson-Short Hall,The CUE,5
Wilson-Short Hall,Fine Arts Center,3
The CUE,Fine Arts Center,5
The CUE,CUB,2
The CUE,Bustad Hall,2
Fine Arts Center,Johnson Annex,4
Terrell Library,CUB,1
Terrell Library,Bryan Hall,2
Terrell Library,Physical Education Building,4
CUB,Bryan Hall,4
CUB,Murrow Center,5
Bryan Hall,Avery Hall,2
Murrow Center,Goertzen Hall,2
Murrow Center,Thompson Hall,1
Thompson Hall,Goertzen Hall,2
Goertzen Hall,Avery Hall,2
Avery Hall,Kimbrough Hall,3
Avery Hall,Chinook Student Center,2
Kimbrough Hall,Chinook Student Center,1
Chinook Student Center,Smith Gym,6
Smith Gym,Physical Education Building,4
Physical Education Building,Kimbrough Hall,3
Physical Education Building,Mooberry Track,4
Physical Education Building,Beasley Coliseum,9
Physical Education Building,GESA Field at Martin Stadium,7
Johnson Annex,Hulbert Hall,3
Johnson Annex,Clark Hall,4
Hulbert Hall,Clark Hall,2
Lower Soccer Field,Chinook Student Center,4
Mooberry Track,GESA Field at Martin Stadium,6
Mooberry Track,Beasley Coliseum,7
GESA Field at Martin Stadium,Rogers Field,6
GESA Field at Martin Stadium,Information Technology Building,2
GESA Field at Martin Stadium,Beasley Coliseum,6
Rogers Field,CUB,6
Rogers Field,Physical Education Building,1
Information Technology Building,The CUE,3
Information Technology Building,Fine Arts Center,1
Beasley Coliseum,Bailey-Brayton Field,4
Beasley Coliseum,Taylor Sports Complex,4
Bailey-Brayton Field,Taylor Sports Complex,6
Bailey-Brayton Field,Tennis Courts North Fairway,3
Taylor Sports Complex,Tennis Courts North Fairway,9
Taylor Sports Complex,Grimes Way Playfield,7
Grimes Way Playfield,Fine Arts Center,7
Grimes Way Playfield,Veterinary Teaching Hospital,6
Grimes Way Playfield, Hulbert Hall,2
Veterinary Teaching Hospital,Wegner Hall,5
Veterinary Teaching Hospital,Bustad Hall,3
Veterinary Teaching Hospital,McEachern Residence Center - East,8
Rogers-Orton Field,Veterinary Teaching Hospital,6
Veterinary Teaching Hospital,Hitchcock Equine Track,13
Hitchcock Equine Track,Grimes Way Playfield,12
Grimes Way Playfield,Food Service Building,10
Food Service Building,Cattle Feeding Lab,6
Food Service Building,Isolation Building,6
Cattle Feeding Lab,Isolation Building,1
Food Service Building,Compost Site,8
Compost Site,Compost Bedding Storage Building,1
Student Recreation Center,Beasley Coliseum,6
Student Recreation Center,Streit-Perham Hall,8
Student Recreation Center,Mooberry Track,11
Streit-Perham Hall,Beasley Coliseum,3
Streit-Perham Hall,Mooberry Track,3
Northside Residence Hall,Chinook Student Center,8
Northside Residence Hall,Global Scholars Hall,4
Northside Residence Hall,Northside Cafe,3
Global Scholars Hall,Chinook Student Center,6
Global Scholars Hall,Northside Cafe,7
Regents Hill Hall,Scott-Coman Hall,4
Regents Hill Hall,Goertzen Hall,11
Scott-Coman Hall,Community-Duncan Dunn Hall,7
Scott-Coman Hall,Goertzen Hall,10
Community-Duncan Dunn Hall,Elmina White Honors Hall,3
Community-Duncan Dunn Hall,Dana,5
Elmina White Honors Hall,McCroskey Hall,2
Elmina White Honors Hall,Daggy Hall,5
McCroskey Hall,Hillside Cafe,1
McCroskey Hall,Daggy Hall,5
Hillside Cafe,Murrow Center,5
Hillside Cafe,Goertzen Hall,4
Gannon-Goldsworthy Hall,Southside Cafe,1
Gannon-Goldsworthy Hall,Stephenson Complex,4
Stimson Hall,The Spark,2
The Spark,Gannon-Goldsworthy Hall,4
Stimson Hall,Cleveland Hall,4
Stephenson Complex,Southside Cafe,4
Southside Cafe,Southside Market,1
Southside Cafe,McEachern Residence Center - East,2
Southside Market,The Spark,3
Olympia Hall,Grimes Way Playfield,13
Olympia Hall,Veterinary Teaching Hospital,6
Olympia Hall,Hitchcock Equine Track,12
Rogers Hall,Rogers-Orton Field,6
Rogers Hall,Orton Hall,3
Rogers Hall,McEachern Residence Center - East,5
Orton Hall,Rogers-Orton Field,3
Orton Hall,McEachern Residence Center - East,2
Lighty Student Services Building,CUB,4
Lighty Student Services Building,French Administration Building,4
French Administration Building,Information Technology Building,2
French Administration Building,The CUE,5
Bryan Hall,Thompson Hall,3
Thompson Hall,Avery Hall,2
