name,x,y
Albrook,43.77,387.95
Animal Disease Biotechnology Facility,619.51,532.34
Sloan Hall,117.77,413.22
Dana,126.79,469.17
Electrical-Mechanical Engineering Building,101.52,431.27
Fulmer Complex,372.25,494.44
Carpenter Hall,170.11,458.34
Wegner Hall,487.76,570.24
Abelson Hall,296.44,485.41
Johnson Annex,639.36,342.83
Webster Hall,404.73,534.14
College Hall,337.96,416.83
Wilson-Short Hall,428.2,424.05
Hulbert Hall,765.7,324.78
Heald Hall,258.54,492.63
Cleveland Hall,256.74,543.17
Terrell Library,381.27,357.27
Thompson Hall,224.25,369.9
Clark Hall,735.02,294.1
Bustad Hall,574.39,523.32
The Spark,285.62,582.88
Todd Hall,370.44,458.34
CUB,419.17,371.71
Bryan Hall,300.05,355.47
Chinook Student Center,292.83,265.22
Murrow Center,271.18,406.0
Avery Hall,282.01,328.39
Goertzen Hall,218.84,398.78
The CUE,469.71,447.51
Daggy Hall,197.18,472.78
Kimbrough Hall,312.69,301.32
Physical Education Building,390.3,256.2
Fine Arts Center,527.46,434.88
Smith Gym,346.98,258.01
Walkway: West College Mall,165,497
Walkway: Central College Mall,270,505
Walkway: Cleveland Spark Path,270,565
Walkway: Stadium Way and College,360,510
Walkway: Terrell Mall West,280,390
Walkway: Terrell Mall Center,375,390
Walkway: CUB Plaza,415,390
Walkway: Library Mall North,365,340
Walkway: North Campus Mall,295,300
Walkway: Chinook Plaza,290,285
Walkway: East Mall,470,430
Walkway: Fine Arts Plaza,520,420
Walkway: Vet Med West,520,535
Walkway: Vet Med East,590,530
Walkway: Stadium Way South,430,555
Walkway: Wilson Road East,650,340
